Category,Label,Year,Diagnoses
Total,Total,2022,606
Total,Total,2021,519
Total,Total,2020,518
Total,Total,2019,453
Total,Total,2018,362
Birth Sex,Unknown,2022,0
Birth Sex,Male,2022,466
Birth Sex,Female,2022,140
Birth Sex,Unknown,2021,0
Birth Sex,Male,2021,439
Birth Sex,Female,2021,80
Birth Sex,Unknown,2020,0
Birth Sex,Male,2020,450
Birth Sex,Female,2020,68
Birth Sex,Unknown,2019,0
Birth Sex,Male,2019,393
Birth Sex,Female,2019,60
Birth Sex,Unknown,2018,0
Birth Sex,Male,2018,327
Birth Sex,Female,2018,35
Age,Unknown,2022,0
Age,65+,2022,10
Age,55-64,2022,39
Age,45-54,2022,78
Age,40-44,2022,70
Age,35-39,2022,93
Age,30-34,2022,154
Age,25-29,2022,96
Age,20-24,2022,50
Age,15-19,2022,16
Age,10-14,2022,0
Age,<10,2022,0
Age,Unknown,2021,0
Age,65+,2021,11
Age,55-64,2021,36
Age,45-54,2021,60
Age,40-44,2021,56
Age,35-39,2021,73
Age,30-34,2021,111
Age,25-29,2021,105
Age,20-24,2021,55
Age,15-19,2021,12
Age,10-14,2021,0
Age,<10,2021,0
Age,Unknown,2020,0
Age,65+,2020,4
Age,55-64,2020,35
Age,45-54,2020,76
Age,40-44,2020,53
Age,35-39,2020,79
Age,30-34,2020,94
Age,25-29,2020,98
Age,20-24,2020,61
Age,15-19,2020,18
Age,10-14,2020,0
Age,<10,2020,0
Age,Unknown,2019,0
Age,65+,2019,5
Age,55-64,2019,31
Age,45-54,2019,69
Age,40-44,2019,43
Age,35-39,2019,65
Age,30-34,2019,89
Age,25-29,2019,105
Age,20-24,2019,41
Age,15-19,2019,5
Age,10-14,2019,0
Age,<10,2019,0
Age,Unknown,2018,0
Age,65+,2018,3
Age,55-64,2018,16
Age,45-54,2018,47
Age,40-44,2018,42
Age,35-39,2018,46
Age,30-34,2018,67
Age,25-29,2018,78
Age,20-24,2018,53
Age,15-19,2018,8
Age,10-14,2018,1
Age,<10,2018,1
Race/Ethnicity,Other/Unknown,2022,9
Race/Ethnicity,"NH, White",2022,237
Race/Ethnicity,"NH, Indigenous/Native American",2022,13
Race/Ethnicity,"NH, Black/African American",2022,88
Race/Ethnicity,"NH, Asian/Pacific Islander",2022,13
Race/Ethnicity,"Hispanic/Latinx, all races",2022,246
Race/Ethnicity,Other/Unknown,2021,3
Race/Ethnicity,"NH, White",2021,240
Race/Ethnicity,"NH, Indigenous/Native American",2021,5
Race/Ethnicity,"NH, Black/African American",2021,69
Race/Ethnicity,"NH, Asian/Pacific Islander",2021,4
Race/Ethnicity,"Hispanic/Latinx, all races",2021,198
Race/Ethnicity,Other/Unknown,2020,21
Race/Ethnicity,"NH, White",2020,255
Race/Ethnicity,"NH, Indigenous/Native American",2020,11
Race/Ethnicity,"NH, Black/African American",2020,63
Race/Ethnicity,"NH, Asian/Pacific Islander",2020,8
Race/Ethnicity,"Hispanic/Latinx, all races",2020,160
Race/Ethnicity,Other/Unknown,2019,17
Race/Ethnicity,"NH, White",2019,220
Race/Ethnicity,"NH, Indigenous/Native American",2019,4
Race/Ethnicity,"NH, Black/African American",2019,44
Race/Ethnicity,"NH, Asian/Pacific Islander",2019,11
Race/Ethnicity,"Hispanic/Latinx, all races",2019,157
Race/Ethnicity,Other/Unknown,2018,9
Race/Ethnicity,"NH, White",2018,181
Race/Ethnicity,"NH, Indigenous/Native American",2018,2
Race/Ethnicity,"NH, Black/African American",2018,29
Race/Ethnicity,"NH, Asian/Pacific Islander",2018,5
Race/Ethnicity,"Hispanic/Latinx, all races",2018,136
